Country,Year,PercResistant,Antibiotic
Denmark,2006,0.0,Amikacin
Denmark,2007,0.0,Amikacin
Denmark,2008,0.0,Amikacin
Denmark,2009,0.0,Amikacin
Denmark,2010,0.0,Amikacin
Denmark,2011,0.0,Amikacin
Denmark,2012,0.0,Amikacin
Denmark,2013,0.0,Amikacin
Denmark,2014,0.0,Amikacin
Denmark,2015,0.0,Amikacin
Denmark,2016,0.0,Amikacin
Denmark,2017,0.0,Amikacin
Egypt,2011,10.526315789473685,Amikacin
Egypt,2012,20.0,Amikacin
Egypt,2013,41.37931034482759,Amikacin
El Salvador,2009,51.515151515151516,Amikacin
El Salvador,2010,0.0,Amikacin
Finland,2006,0.0,Amikacin
Finland,2007,0.0,Amikacin
Finland,2008,0.0,Amikacin
Finland,2010,0.0,Amikacin
Finland,2011,0.0,Amikacin
Finland,2013,0.0,Amikacin
Finland,2014,0.0,Amikacin
Finland,2016,0.0,Amikacin
France,2004,1.492537313432836,Amikacin
France,2005,0.0,Amikacin
France,2006,0.0,Amikacin
France,2007,0.6134969325153374,Amikacin
France,2008,0.8695652173913043,Amikacin
France,2009,0.34843205574912894,Amikacin
France,2010,0.3952569169960474,Amikacin
France,2011,1.1320754716981132,Amikacin
France,2012,0.4132231404958678,Amikacin
France,2013,1.7182130584192439,Amikacin
France,2014,1.2224938875305624,Amikacin
France,2015,0.8645533141210374,Amikacin
France,2016,0.7444168734491315,Amikacin
France,2017,0.821917808219178,Amikacin
Germany,2004,0.0,Amikacin
Germany,2005,0.0,Amikacin
Germany,2006,0.0,Amikacin
Germany,2007,0.0,Amikacin
Germany,2008,0.0,Amikacin
Germany,2009,0.5586592178770949,Amikacin
Germany,2010,0.0,Amikacin
Germany,2011,0.0,Amikacin
Germany,2012,0.0,Amikacin
Germany,2013,0.5730659025787965,Amikacin
Germany,2014,0.47058823529411764,Amikacin
Germany,2015,0.6116207951070336,Amikacin
Germany,2016,0.5952380952380952,Amikacin
Germany,2017,0.5602240896358543,Amikacin
Greece,2004,0.0,Amikacin
Greece,2005,0.0,Amikacin
Greece,2006,0.0,Amikacin
Greece,2007,2.0,Amikacin
Greece,2008,10.204081632653061,Amikacin
Greece,2009,5.3097345132743365,Amikacin
Greece,2010,7.6923076923076925,Amikacin
Greece,2011,0.0,Amikacin
Greece,2012,1.1627906976744187,Amikacin
Greece,2013,19.10112359550562,Amikacin
Greece,2014,9.883720930232558,Amikacin
Greece,2015,8.074534161490684,Amikacin
Greece,2016,2.5,Amikacin
Greece,2017,6.976744186046512,Amikacin
Guatemala,2006,29.032258064516128,Amikacin
Guatemala,2007,43.47826086956522,Amikacin
Guatemala,2008,39.39393939393939,Amikacin
Guatemala,2009,8.641975308641975,Amikacin
Guatemala,2010,4.166666666666667,Amikacin
Guatemala,2015,0.0,Amikacin
Guatemala,2016,2.7027027027027026,Amikacin
Guatemala,2017,0.0,Amikacin
Honduras,2006,25.0,Amikacin
Honduras,2007,47.36842105263158,Amikacin
Honduras,2009,8.88888888888889,Amikacin
Hong Kong,2006,0.0,Amikacin
Hong Kong,2007,0.0,Amikacin
Hong Kong,2010,0.0,Amikacin
Hong Kong,2013,0.0,Amikacin
Hong Kong,2014,0.0,Amikacin
Hong Kong,2015,0.0,Amikacin
Hong Kong,2016,0.0,Amikacin
Hong Kong,2017,0.0,Amikacin
Hungary,2004,0.0,Amikacin
Hungary,2007,0.0,Amikacin
Hungary,2008,1.4492753623188406,Amikacin
Hungary,2009,0.0,Amikacin
Hungary,2010,0.0,Amikacin
Hungary,2012,0.0,Amikacin
Hungary,2013,0.0,Amikacin
Hungary,2014,0.0,Amikacin
Hungary,2015,0.0,Amikacin
Hungary,2016,1.6260162601626016,Amikacin
Hungary,2017,0.6993006993006993,Amikacin
India,2004,8.0,Amikacin
India,2006,28.205128205128204,Amikacin
India,2007,16.19047619047619,Amikacin
India,2008,25.925925925925927,Amikacin
India,2009,50.0,Amikacin
India,2015,30.303030303030305,Amikacin
India,2016,38.46153846153846,Amikacin
Indonesia,2008,0.0,Amikacin
Ireland,2004,0.0,Amikacin
Ireland,2005,0.0,Amikacin
Ireland,2006,0.0,Amikacin
Ireland,2007,0.0,Amikacin
Ireland,2008,2.5,Amikacin
Ireland,2009,0.0,Amikacin
Ireland,2010,0.0,Amikacin
Ireland,2011,0.0,Amikacin
Ireland,2012,0.0,Amikacin
Ireland,2013,1.5873015873015872,Amikacin
Ireland,2014,0.0,Amikacin
Ireland,2015,4.651162790697675,Amikacin
Ireland,2016,0.0,Amikacin
Ireland,2017,0.0,Amikacin
Israel,2005,0.0,Amikacin
Israel,2006,0.0,Amikacin
Israel,2007,6.410256410256411,Amikacin
Israel,2008,3.10077519379845,Amikacin
Israel,2009,0.5681818181818182,Amikacin
Israel,2010,1.5544041450777202,Amikacin
Israel,2012,0.0,Amikacin
Israel,2013,5.825242718446602,Amikacin
Israel,2014,0.0,Amikacin
Israel,2015,0.0,Amikacin
Israel,2016,0.0,Amikacin
Israel,2017,1.408450704225352,Amikacin
Italy,2004,0.0,Amikacin
Italy,2005,5.813953488372093,Amikacin
Italy,2006,6.25,Amikacin
Italy,2007,8.661417322834646,Amikacin
Italy,2008,10.606060606060606,Amikacin
Italy,2009,7.960199004975125,Amikacin
Italy,2010,8.368200836820083,Amikacin
Italy,2011,4.528301886792453,Amikacin
Italy,2012,4.201680672268908,Amikacin
Italy,2013,5.7007125890736345,Amikacin
Italy,2014,4.3314500941619585,Amikacin
Italy,2015,2.444987775061125,Amikacin
Italy,2016,3.3112582781456954,Amikacin
Italy,2017,2.5839793281653747,Amikacin
Jamaica,2006,8.333333333333334,Amikacin
Japan,2012,0.0,Amikacin
Japan,2013,0.0,Amikacin
Japan,2014,0.0,Amikacin
Japan,2015,0.0,Amikacin
Japan,2016,0.0,Amikacin
Japan,2017,0.0,Amikacin
Jordan,2010,0.0,Amikacin
Jordan,2011,4.3478260869565215,Amikacin
Jordan,2012,0.0,Amikacin
Jordan,2013,3.5714285714285716,Amikacin
Jordan,2015,4.166666666666667,Amikacin
Jordan,2016,0.0,Amikacin
Jordan,2017,4.0,Amikacin
Kenya,2013,14.285714285714286,Amikacin
Kenya,2014,17.391304347826086,Amikacin
"Korea, South",2005,10.0,Amikacin
"Korea, South",2006,15.555555555555555,Amikacin
"Korea, South",2007,12.962962962962964,Amikacin
"Korea, South",2008,16.0,Amikacin
"Korea, South",2009,2.816901408450704,Amikacin
"Korea, South",2010,2.3255813953488373,Amikacin
"Korea, South",2012,8.16326530612245,Amikacin
"Korea, South",2013,5.128205128205129,Amikacin
"Korea, South",2014,3.0303030303030303,Amikacin
"Korea, South",2015,8.064516129032258,Amikacin
"Korea, South",2016,3.4246575342465753,Amikacin
"Korea, South",2017,2.34375,Amikacin
Kuwait,2012,4.761904761904762,Amikacin
Kuwait,2013,3.225806451612903,Amikacin
Kuwait,2014,1.8518518518518519,Amikacin
Kuwait,2015,7.03125,Amikacin
Kuwait,2016,4.166666666666667,Amikacin
Kuwait,2017,4.195804195804196,Amikacin
Latvia,2004,4.166666666666667,Amikacin
Latvia,2005,0.0,Amikacin
Latvia,2008,0.0,Amikacin
Latvia,2009,0.0,Amikacin
Latvia,2010,0.0,Amikacin
Latvia,2016,4.545454545454546,Amikacin
Latvia,2017,4.545454545454546,Amikacin
Lithuania,2006,23.076923076923077,Amikacin
Lithuania,2008,7.6923076923076925,Amikacin
Lithuania,2010,5.0,Amikacin
Lithuania,2016,6.25,Amikacin
Lithuania,2017,4.761904761904762,Amikacin
Malaysia,2008,0.0,Amikacin
Malaysia,2009,0.0,Amikacin
Malaysia,2010,0.0,Amikacin
Malaysia,2013,0.0,Amikacin
Malaysia,2014,0.0,Amikacin
Malaysia,2015,0.9615384615384616,Amikacin
Malaysia,2016,0.0,Amikacin
Mauritius,2009,14.285714285714286,Amikacin
Mexico,2005,16.666666666666668,Amikacin
Mexico,2006,4.838709677419355,Amikacin
Mexico,2007,7.339449541284404,Amikacin
Mexico,2008,15.936254980079681,Amikacin
Mexico,2009,15.384615384615385,Amikacin
Mexico,2010,4.545454545454546,Amikacin
Mexico,2011,0.0,Amikacin
Mexico,2012,0.0,Amikacin
Mexico,2013,4.3478260869565215,Amikacin
Mexico,2014,1.0309278350515463,Amikacin
Mexico,2015,4.526748971193416,Amikacin
Mexico,2016,1.5810276679841897,Amikacin
Mexico,2017,1.2195121951219512,Amikacin
Morocco,2011,0.0,Amikacin
Morocco,2012,1.7857142857142858,Amikacin
Morocco,2013,0.0,Amikacin
Morocco,2015,0.0,Amikacin
Morocco,2016,0.0,Amikacin
Morocco,2017,0.0,Amikacin
Namibia,2008,0.0,Amikacin
Namibia,2009,0.0,Amikacin
Netherlands,2004,0.0,Amikacin
Netherlands,2006,0.0,Amikacin
Netherlands,2007,0.0,Amikacin
Netherlands,2008,0.0,Amikacin
Netherlands,2009,0.0,Amikacin
Netherlands,2010,0.0,Amikacin
Netherlands,2011,0.0,Amikacin
Netherlands,2012,0.0,Amikacin
Netherlands,2013,0.0,Amikacin
Netherlands,2014,0.0,Amikacin
Netherlands,2015,0.0,Amikacin
Netherlands,2016,1.1111111111111112,Amikacin
Netherlands,2017,0.0,Amikacin
Nicaragua,2006,0.0,Amikacin
Nigeria,2013,8.823529411764707,Amikacin
Nigeria,2014,8.602150537634408,Amikacin
Norway,2006,0.0,Amikacin
Oman,2007,0.0,Amikacin
Pakistan,2004,30.0,Amikacin
Pakistan,2005,15.384615384615385,Amikacin
Pakistan,2006,20.512820512820515,Amikacin
Pakistan,2015,26.31578947368421,Amikacin
Pakistan,2016,24.137931034482758,Amikacin
Pakistan,2017,30.76923076923077,Amikacin
Panama,2005,0.0,Amikacin
Panama,2006,0.0,Amikacin
Panama,2007,0.0,Amikacin
Panama,2008,0.0,Amikacin
Panama,2009,4.166666666666667,Amikacin
Panama,2010,0.0,Amikacin
Panama,2012,0.0,Amikacin
Panama,2013,0.0,Amikacin
Panama,2014,0.0,Amikacin
Panama,2015,0.0,Amikacin
Panama,2016,0.0,Amikacin
Panama,2017,4.166666666666667,Amikacin
Philippines,2004,0.0,Amikacin
Philippines,2006,0.0,Amikacin
Philippines,2007,7.407407407407407,Amikacin
Philippines,2012,4.545454545454546,Amikacin
Philippines,2013,5.2631578947368425,Amikacin
Philippines,2014,7.547169811320755,Amikacin
Philippines,2015,1.5151515151515151,Amikacin
Philippines,2016,2.185792349726776,Amikacin
Philippines,2017,3.1746031746031744,Amikacin
Poland,2004,31.25,Amikacin
Poland,2008,9.523809523809524,Amikacin
Poland,2009,12.931034482758621,Amikacin
Poland,2010,8.974358974358974,Amikacin
Poland,2013,4.672897196261682,Amikacin
Poland,2014,9.67741935483871,Amikacin
Poland,2015,3.1746031746031744,Amikacin
Poland,2016,1.4492753623188406,Amikacin
Poland,2017,5.925925925925926,Amikacin
Portugal,2004,0.0,Amikacin
Portugal,2006,0.0,Amikacin
Portugal,2007,0.0,Amikacin
Portugal,2008,0.0,Amikacin
Portugal,2009,1.3333333333333333,Amikacin
Portugal,2010,2.1739130434782608,Amikacin
Portugal,2011,1.4285714285714286,Amikacin
Portugal,2012,0.0,Amikacin
Portugal,2013,0.0,Amikacin
Portugal,2014,0.4694835680751174,Amikacin
Portugal,2015,0.0,Amikacin
Portugal,2016,0.0,Amikacin
Portugal,2017,0.0,Amikacin
Puerto Rico,2006,0.0,Amikacin
Romania,2008,2.4390243902439024,Amikacin
Romania,2009,8.450704225352112,Amikacin
Romania,2010,1.3888888888888888,Amikacin
Romania,2012,1.639344262295082,Amikacin
Romania,2013,3.225806451612903,Amikacin
Romania,2014,3.669724770642202,Amikacin
Romania,2015,16.901408450704224,Amikacin
Romania,2016,0.0,Amikacin
Romania,2017,14.285714285714286,Amikacin
Russia,2012,20.155038759689923,Amikacin
Russia,2013,6.0344827586206895,Amikacin
Russia,2014,12.721893491124261,Amikacin
Russia,2015,15.652173913043478,Amikacin
Russia,2016,14.285714285714286,Amikacin
Russia,2017,14.18918918918919,Amikacin
Saudi Arabia,2009,12.5,Amikacin
Saudi Arabia,2011,0.0,Amikacin
Saudi Arabia,2012,13.513513513513514,Amikacin
Saudi Arabia,2013,12.0,Amikacin
Saudi Arabia,2015,3.8461538461538463,Amikacin
Saudi Arabia,2016,23.076923076923077,Amikacin
Serbia,2017,38.095238095238095,Amikacin
Singapore,2004,0.0,Amikacin
Singapore,2005,0.0,Amikacin
Singapore,2006,0.0,Amikacin
Singapore,2007,2.272727272727273,Amikacin
Singapore,2008,0.0,Amikacin
Singapore,2009,0.0,Amikacin
Singapore,2010,0.0,Amikacin
Singapore,2015,0.0,Amikacin
Slovak Republic,2007,0.0,Amikacin
Slovak Republic,2008,5.0,Amikacin
Slovak Republic,2009,0.0,Amikacin
Slovak Republic,2010,0.0,Amikacin
Slovak Republic,2011,0.0,Amikacin
Slovenia,2006,0.0,Amikacin
Slovenia,2007,0.0,Amikacin
Slovenia,2008,0.0,Amikacin
Slovenia,2009,5.882352941176471,Amikacin
Slovenia,2010,0.0,Amikacin
South Africa,2005,1.0638297872340425,Amikacin
South Africa,2006,0.0,Amikacin
South Africa,2007,3.6363636363636362,Amikacin
South Africa,2011,2.4390243902439024,Amikacin
South Africa,2012,0.0,Amikacin
South Africa,2013,2.127659574468085,Amikacin
South Africa,2014,0.0,Amikacin
South Africa,2015,1.834862385321101,Amikacin
South Africa,2016,0.0,Amikacin
South Africa,2017,2.4096385542168677,Amikacin
Spain,2004,0.0,Amikacin
Spain,2005,0.0,Amikacin
Spain,2007,0.0,Amikacin
Spain,2008,1.8404907975460123,Amikacin
Spain,2009,0.5970149253731343,Amikacin
Spain,2010,0.9302325581395349,Amikacin
Spain,2011,0.33557046979865773,Amikacin
Spain,2012,0.0,Amikacin
Spain,2013,0.9259259259259259,Amikacin
Spain,2014,0.4024144869215292,Amikacin
Spain,2015,1.2552301255230125,Amikacin
Spain,2016,1.342281879194631,Amikacin
Spain,2017,1.0964912280701755,Amikacin
Sweden,2005,0.0,Amikacin
Sweden,2006,0.0,Amikacin
Sweden,2007,0.0,Amikacin
Sweden,2008,0.0,Amikacin
Sweden,2009,0.0,Amikacin
Sweden,2010,0.0,Amikacin
Sweden,2011,0.0,Amikacin
Sweden,2012,0.0,Amikacin
Sweden,2013,0.0,Amikacin
Sweden,2014,0.0,Amikacin
Sweden,2017,0.0,Amikacin
Switzerland,2004,0.0,Amikacin
Switzerland,2006,0.0,Amikacin
Switzerland,2008,0.0,Amikacin
Switzerland,2009,0.0,Amikacin
Switzerland,2010,0.0,Amikacin
Switzerland,2011,0.0,Amikacin
Switzerland,2012,0.0,Amikacin
Switzerland,2013,0.0,Amikacin
Switzerland,2014,0.0,Amikacin
Switzerland,2015,0.0,Amikacin
Switzerland,2016,0.0,Amikacin
Switzerland,2017,0.0,Amikacin
Taiwan,2006,13.402061855670103,Amikacin
Taiwan,2007,23.61111111111111,Amikacin
Taiwan,2008,0.0,Amikacin
Taiwan,2009,43.47826086956522,Amikacin
Taiwan,2012,7.042253521126761,Amikacin
Taiwan,2013,4.109589041095891,Amikacin
Taiwan,2014,2.912621359223301,Amikacin
Taiwan,2015,2.34375,Amikacin
Taiwan,2016,3.1847133757961785,Amikacin
Taiwan,2017,3.7974683544303796,Amikacin
Thailand,2008,0.0,Amikacin
Thailand,2009,0.0,Amikacin
Thailand,2010,0.0,Amikacin
Thailand,2012,0.0,Amikacin
Thailand,2013,1.3157894736842106,Amikacin
Thailand,2014,0.0,Amikacin
Thailand,2015,1.4814814814814814,Amikacin
Thailand,2016,1.3605442176870748,Amikacin
Thailand,2017,0.0,Amikacin
Tunisia,2011,0.0,Amikacin
Tunisia,2012,2.5,Amikacin
Tunisia,2013,0.0,Amikacin
Turkey,2004,20.0,Amikacin
Turkey,2005,2.2222222222222223,Amikacin
Turkey,2006,4.3478260869565215,Amikacin
Turkey,2008,0.0,Amikacin
Turkey,2009,0.0,Amikacin
Turkey,2012,0.0,Amikacin
Turkey,2013,0.0,Amikacin
Turkey,2014,3.9603960396039604,Amikacin
Turkey,2015,8.602150537634408,Amikacin
Turkey,2016,8.80503144654088,Amikacin
Turkey,2017,6.338028169014085,Amikacin
United Kingdom,2004,0.0,Amikacin
United Kingdom,2007,0.0,Amikacin
United Kingdom,2008,0.0,Amikacin
United Kingdom,2009,0.0,Amikacin
United Kingdom,2010,0.0,Amikacin
United Kingdom,2011,0.0,Amikacin
United Kingdom,2012,0.0,Amikacin
United Kingdom,2013,0.0,Amikacin
United Kingdom,2014,1.6260162601626016,Amikacin
United Kingdom,2015,0.7874015748031497,Amikacin
United Kingdom,2016,3.5502958579881656,Amikacin
United Kingdom,2017,1.0416666666666667,Amikacin
United States,2004,0.3872966692486445,Amikacin
United States,2005,0.39344262295081966,Amikacin
United States,2006,0.5243445692883895,Amikacin
United States,2007,0.8537279453614115,Amikacin
United States,2008,1.4164305949008498,Amikacin
United States,2009,1.8891687657430731,Amikacin
United States,2010,0.3816793893129771,Amikacin
United States,2011,0.7843137254901961,Amikacin
United States,2012,0.6198347107438017,Amikacin
United States,2013,1.288404360753221,Amikacin
United States,2014,0.4149377593360996,Amikacin
United States,2015,0.5263157894736842,Amikacin
United States,2016,0.12048192771084337,Amikacin
United States,2017,0.0,Amikacin
Venezuela,2006,5.2631578947368425,Amikacin
Venezuela,2007,4.25531914893617,Amikacin
Venezuela,2008,3.225806451612903,Amikacin
Venezuela,2009,2.3529411764705883,Amikacin
Venezuela,2010,10.0,Amikacin
Venezuela,2011,11.764705882352942,Amikacin
Venezuela,2012,7.8431372549019605,Amikacin
Venezuela,2013,8.571428571428571,Amikacin
Venezuela,2014,5.154639175257732,Amikacin
Venezuela,2015,12.413793103448276,Amikacin
Venezuela,2016,1.9607843137254901,Amikacin
Venezuela,2017,1.948051948051948,Amikacin
Vietnam,2015,10.0,Amikacin
Vietnam,2016,7.142857142857143,Amikacin
